Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2018/01/01,38
2018/01/02,23
2018/01/03,21
2018/01/04,23
2018/01/05,50
2018/01/06,43
2018/01/07,39
2018/01/08,16
2018/01/09,9
2018/01/10,25
2018/01/11,36
2018/01/12,35
2018/01/13,39
2018/01/14,48
2018/01/15,52
2018/01/16,47
2018/01/17,42
2018/01/18,29
2018/01/19,32
2018/01/20,51
2018/01/21,10
2018/01/22,27
2018/01/23,58
2018/01/24,54
2018/01/25,61
2018/01/26,62
2018/01/27,40
2018/01/28,39
2018/01/29,48
2018/01/30,34
2018/01/31,41
2018/02/01,19
2018/02/02,24
2018/02/03,23
2018/02/04,26
2018/02/05,21
2018/02/06,20
2018/02/07,21
2018/02/08,24
2018/02/09,23
2018/02/10,31
2018/02/11,34
2018/02/12,41
2018/02/13,14
2018/02/14,24
2018/02/15,39
2018/02/16,66
2018/02/17,45
2018/02/18,44
2018/02/19,18
2018/02/20,37
2018/02/21,37
2018/02/22,28
2018/02/23,25
2018/02/24,31
2018/02/25,15
2018/02/26,-999
2018/02/27,-999
2018/02/28,-999
2018/03/01,57
2018/03/02,67
2018/03/03,42
2018/03/04,36
2018/03/05,48
2018/03/06,47
2018/03/07,41
2018/03/08,-999
2018/03/09,-999
2018/03/10,7
2018/03/11,17
2018/03/12,18
2018/03/13,30
2018/03/14,19
2018/03/15,19
2018/03/16,9
2018/03/17,15
2018/03/18,8
2018/03/19,16
2018/03/20,22
2018/03/21,22
2018/03/22,25
2018/03/23,35
2018/03/24,26
2018/03/25,21
2018/03/26,43
2018/03/27,38
2018/03/28,30
2018/03/29,45
2018/03/30,30
2018/03/31,13
