Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2017/01/01,139
2017/01/02,56
2017/01/03,58
2017/01/04,39
2017/01/05,4
2017/01/06,10
2017/01/07,27
2017/01/08,16
2017/01/09,63
2017/01/10,45
2017/01/11,32
2017/01/12,51
2017/01/13,29
2017/01/14,7
2017/01/15,25
2017/01/16,17
2017/01/17,18
2017/01/18,34
2017/01/19,39
2017/01/20,55
2017/01/21,71
2017/01/22,51
2017/01/23,42
2017/01/24,53
2017/01/25,38
2017/01/26,48
2017/01/27,51
2017/01/28,81
2017/01/29,119
2017/01/30,159
2017/01/31,-999
2017/02/01,132
2017/02/02,85
2017/02/03,42
2017/02/04,31
2017/02/05,29
2017/02/06,35
2017/02/07,30
2017/02/08,27
2017/02/09,21
2017/02/10,30
2017/02/11,43
2017/02/12,44
2017/02/13,46
2017/02/14,35
2017/02/15,49
2017/02/16,31
2017/02/17,28
2017/02/18,71
2017/02/19,62
2017/02/20,54
2017/02/21,47
2017/02/22,-999
2017/02/23,59
2017/02/24,68
2017/02/25,21
2017/02/26,33
2017/02/27,34
2017/02/28,37
2017/03/01,14
2017/03/02,22
2017/03/03,37
2017/03/04,25
2017/03/05,8
2017/03/06,20
2017/03/07,6
2017/03/08,9
2017/03/09,16
2017/03/10,-999
2017/03/11,-999
2017/03/12,10
2017/03/13,16
2017/03/14,39
2017/03/15,56
2017/03/16,77
2017/03/17,79
2017/03/18,20
2017/03/19,28
2017/03/20,60
2017/03/21,69
2017/03/22,45
2017/03/23,36
2017/03/24,20
2017/03/25,44
2017/03/26,19
2017/03/27,21
2017/03/28,28
2017/03/29,25
2017/03/30,26
2017/03/31,34
