Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,65
2016/01/02,38
2016/01/03,30
2016/01/04,34
2016/01/05,35
2016/01/06,32
2016/01/07,37
2016/01/08,46
2016/01/09,43
2016/01/10,40
2016/01/11,29
2016/01/12,26
2016/01/13,19
2016/01/14,25
2016/01/15,25
2016/01/16,20
2016/01/17,6
2016/01/18,20
2016/01/19,36
2016/01/20,50
2016/01/21,67
2016/01/22,73
2016/01/23,78
2016/01/24,97
2016/01/25,85
2016/01/26,47
2016/01/27,71
2016/01/28,75
2016/01/29,62
2016/01/30,103
2016/01/31,69
2016/02/01,41
2016/02/02,49
2016/02/03,26
2016/02/04,15
2016/02/05,27
2016/02/06,39
2016/02/07,31
2016/02/08,24
2016/02/09,32
2016/02/10,12
2016/02/11,15
2016/02/12,28
2016/02/13,44
2016/02/14,32
2016/02/15,31
2016/02/16,12
2016/02/17,10
2016/02/18,28
2016/02/19,32
2016/02/20,15
2016/02/21,20
2016/02/22,46
2016/02/23,63
2016/02/24,33
2016/02/25,17
2016/02/26,33
2016/02/27,20
2016/02/28,13
2016/02/29,7
2016/03/01,28
2016/03/02,31
2016/03/03,7
2016/03/04,20
2016/03/05,14
2016/03/06,29
2016/03/07,32
2016/03/08,29
2016/03/09,-999
2016/03/10,30
2016/03/11,29
2016/03/12,32
2016/03/13,21
2016/03/14,16
2016/03/15,30
2016/03/16,12
2016/03/17,28
2016/03/18,32
2016/03/19,35
2016/03/20,22
2016/03/21,28
2016/03/22,46
2016/03/23,-999
2016/03/24,30
2016/03/25,35
2016/03/26,40
2016/03/27,33
2016/03/28,28
2016/03/29,15
2016/03/30,19
2016/03/31,36
