Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,73
2016/01/02,43
2016/01/03,36
2016/01/04,38
2016/01/05,38
2016/01/06,38
2016/01/07,41
2016/01/08,52
2016/01/09,53
2016/01/10,44
2016/01/11,30
2016/01/12,29
2016/01/13,20
2016/01/14,29
2016/01/15,25
2016/01/16,21
2016/01/17,7
2016/01/18,22
2016/01/19,44
2016/01/20,61
2016/01/21,80
2016/01/22,98
2016/01/23,88
2016/01/24,104
2016/01/25,91
2016/01/26,51
2016/01/27,76
2016/01/28,89
2016/01/29,73
2016/01/30,120
2016/01/31,83
2016/02/01,46
2016/02/02,62
2016/02/03,28
2016/02/04,18
2016/02/05,32
2016/02/06,47
2016/02/07,-999
2016/02/08,-999
2016/02/09,-999
2016/02/10,-999
2016/02/11,-999
2016/02/12,29
2016/02/13,49
2016/02/14,34
2016/02/15,33
2016/02/16,23
2016/02/17,-999
2016/02/18,27
2016/02/19,36
2016/02/20,16
2016/02/21,20
2016/02/22,56
2016/02/23,71
2016/02/24,38
2016/02/25,22
2016/02/26,39
2016/02/27,12
2016/02/28,14
2016/02/29,10
2016/03/01,-999
2016/03/02,-999
2016/03/03,10
2016/03/04,24
2016/03/05,12
2016/03/06,33
2016/03/07,38
2016/03/08,36
2016/03/09,21
2016/03/10,33
2016/03/11,29
2016/03/12,32
2016/03/13,23
2016/03/14,20
2016/03/15,34
2016/03/16,13
2016/03/17,24
2016/03/18,30
2016/03/19,24
2016/03/20,18
2016/03/21,23
2016/03/22,44
2016/03/23,31
2016/03/24,33
2016/03/25,25
2016/03/26,35
2016/03/27,32
2016/03/28,24
2016/03/29,14
2016/03/30,21
2016/03/31,30
