Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2015/01/01,54
2015/01/02,60
2015/01/03,70
2015/01/04,35
2015/01/05,18
2015/01/06,44
2015/01/07,77
2015/01/08,66
2015/01/09,72
2015/01/10,40
2015/01/11,55
2015/01/12,25
2015/01/13,57
2015/01/14,66
2015/01/15,62
2015/01/16,55
2015/01/17,24
2015/01/18,29
2015/01/19,47
2015/01/20,47
2015/01/21,38
2015/01/22,31
2015/01/23,39
2015/01/24,54
2015/01/25,14
2015/01/26,23
2015/01/27,59
2015/01/28,54
2015/01/29,53
2015/01/30,33
2015/01/31,36
2015/02/01,44
2015/02/02,36
2015/02/03,48
2015/02/04,44
2015/02/05,16
2015/02/06,20
2015/02/07,22
2015/02/08,40
2015/02/09,51
2015/02/10,81
2015/02/11,96
2015/02/12,134
2015/02/13,156
2015/02/14,53
2015/02/15,24
2015/02/16,29
2015/02/17,43
2015/02/18,48
2015/02/19,72
2015/02/20,64
2015/02/21,52
2015/02/22,12
2015/02/23,-999
2015/02/24,23
2015/02/25,-999
2015/02/26,23
2015/02/27,41
2015/02/28,55
2015/03/01,50
2015/03/02,31
2015/03/03,31
2015/03/04,-999
2015/03/05,10
2015/03/06,24
2015/03/07,21
2015/03/08,40
2015/03/09,42
2015/03/10,63
2015/03/11,81
2015/03/12,38
2015/03/13,42
2015/03/14,33
2015/03/15,32
2015/03/16,30
2015/03/17,27
2015/03/18,50
2015/03/19,74
2015/03/20,49
2015/03/21,43
2015/03/22,31
2015/03/23,47
2015/03/24,59
2015/03/25,32
2015/03/26,30
2015/03/27,14
2015/03/28,22
2015/03/29,30
2015/03/30,15
2015/03/31,12
