Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2017/01/01,126
2017/01/02,61
2017/01/03,67
2017/01/04,52
2017/01/05,13
2017/01/06,21
2017/01/07,32
2017/01/08,29
2017/01/09,72
2017/01/10,56
2017/01/11,25
2017/01/12,43
2017/01/13,35
2017/01/14,15
2017/01/15,-999
2017/01/16,-999
2017/01/17,38
2017/01/18,58
2017/01/19,47
2017/01/20,52
2017/01/21,80
2017/01/22,57
2017/01/23,55
2017/01/24,-999
2017/01/25,46
2017/01/26,52
2017/01/27,57
2017/01/28,77
2017/01/29,107
2017/01/30,135
2017/01/31,123
2017/02/01,108
2017/02/02,98
2017/02/03,29
2017/02/04,30
2017/02/05,44
2017/02/06,34
2017/02/07,32
2017/02/08,-999
2017/02/09,32
2017/02/10,31
2017/02/11,46
2017/02/12,49
2017/02/13,40
2017/02/14,37
2017/02/15,43
2017/02/16,51
2017/02/17,39
2017/02/18,72
2017/02/19,61
2017/02/20,55
2017/02/21,43
2017/02/22,70
2017/02/23,55
2017/02/24,75
2017/02/25,19
2017/02/26,39
2017/02/27,36
2017/02/28,39
2017/03/01,20
2017/03/02,27
2017/03/03,34
2017/03/04,23
2017/03/05,11
2017/03/06,28
2017/03/07,20
2017/03/08,20
2017/03/09,36
2017/03/10,27
2017/03/11,18
2017/03/12,22
2017/03/13,23
2017/03/14,-999
2017/03/15,59
2017/03/16,83
2017/03/17,78
2017/03/18,26
2017/03/19,30
2017/03/20,-999
2017/03/21,66
2017/03/22,-999
2017/03/23,-999
2017/03/24,-999
2017/03/25,40
2017/03/26,6
2017/03/27,-999
2017/03/28,-999
2017/03/29,-999
2017/03/30,-999
2017/03/31,43
