Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2020/01/01,129
2020/01/02,50
2020/01/03,55
2020/01/04,45
2020/01/05,34
2020/01/06,39
2020/01/07,43
2020/01/08,45
2020/01/09,54
2020/01/10,64
2020/01/11,64
2020/01/12,49
2020/01/13,59
2020/01/14,70
2020/01/15,66
2020/01/16,67
2020/01/17,52
2020/01/18,33
2020/01/19,34
2020/01/20,16
2020/01/21,36
2020/01/22,37
2020/01/23,49
2020/01/24,74
2020/01/25,64
2020/01/26,67
2020/01/27,75
2020/01/28,47
2020/01/29,19
2020/01/30,34
2020/01/31,51
2020/02/01,63
2020/02/02,31
2020/02/03,30
2020/02/04,23
2020/02/05,8
2020/02/06,16
2020/02/07,27
2020/02/08,41
2020/02/09,64
2020/02/10,52
2020/02/11,20
2020/02/12,7
2020/02/13,26
2020/02/14,26
2020/02/15,47
2020/02/16,56
2020/02/17,42
2020/02/18,44
2020/02/19,38
2020/02/20,16
2020/02/21,32
2020/02/22,40
2020/02/23,33
2020/02/24,31
2020/02/25,43
2020/02/26,29
2020/02/27,7
2020/02/28,7
2020/02/29,19
2020/03/01,24
2020/03/02,22
2020/03/03,14
2020/03/04,16
2020/03/05,16
2020/03/06,20
2020/03/07,24
2020/03/08,14
2020/03/09,22
2020/03/10,19
2020/03/11,12
2020/03/12,21
2020/03/13,9
2020/03/14,20
2020/03/15,19
2020/03/16,21
2020/03/17,32
2020/03/18,36
2020/03/19,34
2020/03/20,36
2020/03/21,23
2020/03/22,18
2020/03/23,9
2020/03/24,15
2020/03/25,13
2020/03/26,13
2020/03/27,17
2020/03/28,23
2020/03/29,19
2020/03/30,12
2020/03/31,8
