Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2019/01/01,82
2019/01/02,16
2019/01/03,12
2019/01/04,37
2019/01/05,52
2019/01/06,57
2019/01/07,81
2019/01/08,83
2019/01/09,21
2019/01/10,11
2019/01/11,21
2019/01/12,44
2019/01/13,60
2019/01/14,10
2019/01/15,17
2019/01/16,39
2019/01/17,35
2019/01/18,32
2019/01/19,11
2019/01/20,39
2019/01/21,62
2019/01/22,62
2019/01/23,42
2019/01/24,52
2019/01/25,47
2019/01/26,66
2019/01/27,60
2019/01/28,40
2019/01/29,43
2019/01/30,22
2019/01/31,36
2019/02/01,26
2019/02/02,30
2019/02/03,26
2019/02/04,27
2019/02/05,37
2019/02/06,49
2019/02/07,60
2019/02/08,77
2019/02/09,56
2019/02/10,59
2019/02/11,18
2019/02/12,14
2019/02/13,21
2019/02/14,45
2019/02/15,62
2019/02/16,72
2019/02/17,71
2019/02/18,35
2019/02/19,19
2019/02/20,51
2019/02/21,67
2019/02/22,62
2019/02/23,35
2019/02/24,23
2019/02/25,49
2019/02/26,47
2019/02/27,47
2019/02/28,41
2019/03/01,41
2019/03/02,43
2019/03/03,29
2019/03/04,26
2019/03/05,21
2019/03/06,34
2019/03/07,30
2019/03/08,21
2019/03/09,12
2019/03/10,11
2019/03/11,18
2019/03/12,10
2019/03/13,14
2019/03/14,15
2019/03/15,12
2019/03/16,11
2019/03/17,17
2019/03/18,4
2019/03/19,11
2019/03/20,18
2019/03/21,24
2019/03/22,39
2019/03/23,38
2019/03/24,33
2019/03/25,27
2019/03/26,10
2019/03/27,16
2019/03/28,18
2019/03/29,22
2019/03/30,31
2019/03/31,32
